Geocode,business_id,name,address,city,state,postal_code,latitude,longitude,Score,Income
6037190802,PR0021058,LEVEL I CONCESSION,6360 W SUNSET BLVD ,LOS ANGELES,CA,90028,34.09774,-118.32782,98,46965
6037302301,PR0021103,HAAGEN-DAZS,668 AMERICANA WAY # FP-5,GLENDALE,CA,91210,34.1441004,-118.2570658,90,96588
6037700501,PR0021214,THE VIPER ROOM,8852 W SUNSET BLVD ,WEST HOLLYWOOD,CA,90069,34.09050828,-118.384528,93,118470
6037702501,PR0021215,THE CONSERVATORY FOR COFFEE,10117 WASHINGTON BLVD ,CULVER CITY,CA,90232,34.02069121,-118.3994959,90,137236
6037900607,PR0021320,FRATERNAL ORDER OF EAGLES,232 W NEWGROVE ST,LANCASTER,CA,93534,34.69479079,-118.1327914,93,31359
6037920035,PR0021347,BASKIN ROBBINS #361375,18827 SOLEDAD CANYON RD ,CANYON COUNTRY,CA,91351,34.4162606,-118.4641502,92,92599
6037294421,PR0021387,PARKVIEW KAFE,25975 S VERMONT AVE ,HARBOR CITY,CA,90710,33.78603141,-118.2972814,94,59686
6037602700,PR0021542,STARBUCKS COFFEE #3425,2909 W 120TH ST STE A,HAWTHORNE,CA,90250,33.9241647,-118.3257251,95,102459
6037670416,PR0021553,RALPHS MARKET #720 - STARBUCKS KIOSK,30019 HAWTHORNE BLVD #A,RANCHO PALOS VERDES,CA,90275,33.76029794,-118.3940751,98,162103
6037920036,PR0021555,STARBUCKS COFFEE CO,19435 SOLEDAD CANYON RD ,CANYON COUNTRY,CA,91351,34.41582675,-118.4751921,98,83302
6037139600,PR0021602,COFFEE BEAN & TEA LEAF,17301 VENTURA BLVD STE 1,ENCINO,CA,91316,34.16106468,-118.5100494,99,140858
6037320300,PR0021876,STARBUCKS #5915,1135 TRUMAN ST ,SAN FERNANDO,CA,91340,34.28401803,-118.4413314,99,58158
6037217200,PR0021908,THE COMEDY UNION,5040 W PICO BLVD ,LOS ANGELES,CA,90019,34.04769012,-118.3476037,92,97146
6037310702,PR0021980,COLD STONE CREAMERY,131 E PALM AVE ,BURBANK,CA,91502,34.18214104,-118.3111501,90,63799
